              Solar Radiation Research Laboratory (SRRL) Baseline Measurement System (BMS)              
                                                 01/2025

                           Summary of Quality Assessment Flags (percentages)                            
================ ========== ========== ========== ========== ========== ========== ========== ==========
   Instrument     Untested  Passed-(1) Passed-(2) Passed-(3)   Low-(7)   High-(8)    Other     Missing  
================ ========== ========== ========== ========== ========== ========== ========== ==========
    GloSR20            0       68.5          0       28.8       0.07       0.54       1.97          0
    DirDR20            0       68.5       0.08       29.7          0       0.04       1.64          0
    GloLi200           0       68.4       0.00       10.4       0.12       0.67       20.1          0
   GloCMP22V           0       68.5          0       29.6       0.08       0.69       1.04          0
  GloRG780PSP          0       3.49       96.5          0          0          0          0          0
    GloCMP11           0       68.5       0.00       23.2       0.12       0.93       7.13          0
    GloCM6b            0       68.4       0.00       22.2       0.11       1.01       8.18          0
   GloSPLite2          0       68.3          0       25.1       0.13       0.96       5.32          0
    GloLi190           0          0       97.1          0          0          0       2.88          0
   Glo40CMP22          0          0          0       99.4          0          0       0.56          0
  Glo40Li200R          0          0          0       99.3          0          0       0.62          0
  GloNormCMP22         0          0          0       99.3          0          0       0.62          0
    GloTUVR            0          0          0       99.6          0          0       0.35          0
   GloUVB501A          0          0          0        100          0          0          0          0
   GloUVEMED           0        100          0          0          0          0          0          0
  GloUVBMS210W         0          0          0        100          0          0          0          0
   GloUVA501A          0          0       0.35       99.6          0          0          0          0
 GloNormLI200R         0       0.15       99.8          0          0          0          0          0
    GloUVSAT           0          0       0.35       99.6          0          0          0          0
    GloUVSBT           0          0          0        100          0          0          0          0
    GloUVB1            0          0          0        100          0          0          0          0
  GloUVEIndex          0        100          0          0          0          0          0          0
     DirNIP            0       68.5       0.08       29.9          0       0.04       1.41          0
    DirSNIP            0       68.5       0.08       29.6          0          0       1.69          0
    DirLi201           0       68.5       0.08       20.5          0       0.04       10.8          0
  DirRG780NIP          0       0.05       16.0       83.5          0          0       0.35          0
   DirCHP1-1           0       68.5       0.08       29.6          0          0       1.68          0
    DirTUVR            0          0       99.8          0          0          0       0.15          0
    DirCUVA2           0          0       99.8          0          0          0       0.15          0
    DirCUVB2           0          0        100          0          0          0          0          0
    GloSP110           0       68.1          0       23.5       0.10       1.11       7.05          0
    GloLi210           0       0.02       99.9          0          0          0          0          0
   CloudTotal          0       99.7          0          0          0          0          0       0.20
  CloudOpaque          0       99.7          0          0          0          0          0       0.20
  TempWetBulb          0       0.04       99.9          0          0          0          0          0
    DifSB848           0       68.1       0.06       23.0       0.03       0.45       8.32          0
    DirLi190           0       0.18       99.8          0          0          0          0          0
     Dif848            0       68.0       0.08       29.9          0       0.51       1.37          0
   DifCM22-1           0       68.1       0.08       29.7          0       0.47       1.59          0
   DifCM22-2           0       68.0       0.08       29.6          0       0.48       1.66          0
    UWCMP11            0          0          0        100          0          0          0          0
    DWIRPIR            0          0       99.9          0          0          0       0.01          0
    DWIRCG4            0          0       99.9          0          0          0       0.01          0
    UWIRPIR            0          0        100          0          0          0          0          0
